filename	title	author	year	genre	brow
k00400000001.txt	Die Blechtrommel	Grass, Günter	1959	hlit	high
k00400000008.txt	Die Winter im Süden	Gstrein, Norbert	2008	hlit	high
k00400000012.txt	Die Sonnenposition	Poschmann, Marion	2013	hlit	high
k00400000013.txt	Die Süße des Lebens	Hochgatterer, Paulus	2007	hlit	high
k00400000015.txt	Eine Ahnung vom Anfang	Gstrein, Norbert	2013	hlit	high
k00400000018.txt	Du stirbst nicht	Schmidt, Kathrin	0	hlit	high
k00400000019.txt	Taxi	Duve, Karen	2008	hlit	high
k00400000021.txt	Ein dickes Fell: Chengs dritter Fall	Steinfest, Heinrich	2006	hlit	high
k00400000023.txt	Gut gegen Nordwind	Glattauer, Daniel	2006	hlit	high
k00400000024.txt	Flughafenfische	Overath, Angelika	2009	hlit	high
k00400000025.txt	Einer von vielen	Zähringer, Norbert	2009	hlit	high
k00400000029.txt	Gehen, ging, gegangen	Erpenbeck, Jenny	2015	hlit	high
k00400000032.txt	Grenzgang	Thome, Stephan	2009	hlit	high
k00400000033.txt	Gruber geht	Knecht, Doris	2011	hlit	high
k00400000034.txt	Gutgeschriebene Verluste	Cailloux, Bernd	2012	hlit	high
k00400000037.txt	Herr der Hörner	Politycki, Matthias	2015	hlit	high
k00400000038.txt	Hundert Tage	Bärfuss, Lukas	2008	hlit	high
k00400000042.txt	Kastelau	Lewinsky, Charles	2014	hlit	high
k00400000045.txt	Johann Holtrop. Abriss der Gesellschaft	Goetz, Rainald	2012	hlit	high
k00400000047.txt	Kaltenburg	Beyer, Marcel	2008	hlit	high
k00400000049.txt	Koala	Bärfuss, Lukas	2014	hlit	high
k00400000052.txt	Kürzere Tage	Anna Katharina, Hahn	2009	hlit	high
k00400000055.txt	Lichtjahre entfernt	Merkel, Rainer	2009	hlit	high
k00400000058.txt	Roula Rouge	Nolte, Mathias	2007	hlit	high
k00400000059.txt	Meeresstille	Ljubić, Nicol	2010	hlit	high
k00400000060.txt	Nachkommen.	Streeruwitz, Marlene	2014	hlit	high
k00400000062.txt	Nichts Weißes	Ziegler, Ulf Erdmann	2012	hlit	high
k00400000063.txt	Nie mehr Nacht	Bonné, Mirko	2013	hlit	high
k00400000064.txt	Ob wir wollen oder nicht	Ott, Karl-Heinz	2008	hlit	high
k00400000065.txt	Panischer Frühling	Leutenegger, Gertrud	2014	hlit	high
k00400000066.txt	Onno Viets und der Irre vom Kiez	Schulz, Frank	2012	hlit	high
k00400000067.txt	Pazifik Exil	Lentz, Michael	2009	hlit	high
k00400000069.txt	Robinsons blaues Haus	Augustin, Ernst	2012	hlit	high
k00400000070.txt	Rabenliebe	Wawerzinek, Peter	2010	hlit	high
k00400000073.txt	Schwarzweißroman	Poschmann, Marion	2005	hlit	high
k00400000074.txt	Sieben Jahre	Stamm, Peter	2009	hlit	high
k00400000075.txt	Sieben Sprünge vom Rand der Welt	Draesner, Ulrike	2014	hlit	high
k00400000078.txt	Sogar Papageien überleben uns	Martynova, Olga	2010	hlit	high
