filename	brow	language	corpus	corpus_id	author_ja	title_ja	author	title	author_year	year	token_count	ndc	genre	narrative_perspective	comments
Edogawa_R_Uchuukaiji.txt	low	ja	Aozora Bunko	aozorabunko/cards/001779/files/56674_61591.html	江戸川乱歩	宇宙怪人	Ranpo Edogawa	Uchuukaijin	1894-10-21--1965-07-28	1953	45612	小説、物語 (児童書)	detective	heterodiegetic	
Edogawa_R_Haiironokyo.txt	low	ja	Aozora Bunko	aozorabunko/cards/001779/files/56676_61994.html	江戸川乱歩	灰色の巨人	Ranpo Edogawa	Haiironokyojin	1894-10-21--1965-07-28	1955	39455	小説、物語 (児童書)	detective	heterodiegetic	
Unno_J_Ukabuhikouto.txt	low	ja	Aozora Bunko	aozorabunko/cards/000160/files/3527_18466.html	海野十三	浮かぶ飛行島	Juza Unno	Ukabuhikoutou	1897-12-26--1949-05-17	1938	66890	小説、物語 (児童書)	SF	heterodiegetic	Young SF
Unno_J_Kaitouou.txt	low	ja	Aozora Bunko	aozorabunko/cards/000160/files/3370_25722.html	海野十三	怪塔王	Juza Unno	Kaitouou	1897-12-26--1949-05-17	1938	89299	小説、物語 (児童書)	SF	heterodiegetic	Young SF
Unno_J_Kaseiheidan.txt	low	ja	Aozora Bunko	aozorabunko/cards/000160/files/3368_25725.html	海野十三	火星兵団	Juza Unno	Kaseiheidan	1897-12-26--1949-05-17	1939	164571	小説、物語 (児童書)	SF	homodiegetic	Young SF
Unno_J_Chikyuuyousa.txt	low	ja	Aozora Bunko	aozorabunko/cards/000160/files/3239_15747.html	海野十三	地球要塞	Juza Unno	Chikyuuyousai	1897-12-26--1949-05-17	1940	38832	小説、物語	SF	autodiegetic	
Okamoto_K_Hanshichitorimo.txt	low	ja	Aozora Bunko	aozorabunko/cards/000082/files/964_15046.html	岡本綺堂	半七捕物帳: 69 白蝶怪	Kido Okamoto	Hanshichitorimonochou: _Hakuchoukai	1872-11-15--1939-03-01	1986	44266	小説、物語	detective	heterodiegetic	岡っ引捕り物小説
Okamoto_K_Seiadoukida.txt	low	ja	Aozora Bunko	aozorabunko/cards/000082/files/1307_20001.html	岡本綺堂	青蛙堂鬼談	Kido Okamoto	Seiadoukidan	1872-11-15--1939-03-01	1988	71431	小説、物語	horror	homodiegetic	怪奇
Okamoto_K_Hidanokaidan.txt	low	ja	Aozora Bunko	aozorabunko/cards/000082/files/49682_51215.html	岡本綺堂	飛騨の怪談	Kido Okamoto	Hidanokaidan	1872-11-15--1939-03-01	1912	60867	小説、物語	horror	homodiegetic	怪奇
Okamoto_K_Ryougokunoa.txt	low	ja	Aozora Bunko	aozorabunko/cards/000082/files/478_33090.html	岡本綺堂	両国の秋	Kido Okamoto	Ryougokunoaki	1872-11-15--1939-03-01	1993	34396	小説、物語	horror	homodiegetic	怪奇
Okamoto_K_Tamamonomae.txt	low	ja	Aozora Bunko	aozorabunko/cards/000082/files/480_39601.html	岡本綺堂	玉藻の前	Kido Okamoto	Tamamonomae	1872-11-15--1939-03-01	1992	75679	小説、物語	horror	homodiegetic	怪奇
