XXXIX	NUM	xxxix
donner	VERB	donner
la	DET	le
force	NOUN	force
de	ADP	de
lutter	VERB	lutter
;	PUNCT	;
si	CONJ	si
j'	PRON	je
avais	VERB	avoir
le	DET	le
courage	NOUN	courage
persévérant	ADJ	persévérant
,	PUNCT	,
si	CONJ	si
je	PRON	je
ne	ADV	ne
m'	PRON	me
abandonnais	VERB	abandonner
pas	ADV	pas
,	PUNCT	,
un	DET	un
jour	NOUN	jour
peut-être	ADV	peut-être
j'	PRON	je
approcherais	VERB	approcher
du	ADP	du
port	NOUN	port
et	CONJ	et
je	PRON	je
pourrais	VERB	pouvoir
saisir	VERB	saisir
la	DET	le
main	NOUN	main
qui	PRON	qui
se	PRON	se
tendait	VERB	tendre
vers	ADP	vers
moi	PRON	moi
;	PUNCT	;
la	DET	le
distance	NOUN	distance
était	VERB	être
longue	ADJ	longue
,	PUNCT	,
les	DET	le
fatigues	NOUN	fatigue
seraient	VERB	être
grandes	ADJ	grand
;	PUNCT	;
qu'	PRON	que
importe	VERB	importer
,	PUNCT	,
je	PRON	je
n'	ADV	ne
étais	VERB	être
pas	ADV	pas
perdu	VERB	perdre
dans	ADP	dans
la	DET	le
nuit	NOUN	nuit
noire	ADJ	noir
sur	ADP	sur
la	DET	le
mer	NOUN	mer
immense	ADJ	immense
;	PUNCT	;
j'	PRON	je
avais	VERB	avoir
devant	ADP	devant
les	DET	le
yeux	NOUN	œil
une	DET	un
étoile	NOUN	étoile
radieuse	ADJ	radieux
,	PUNCT	,
Clotilde	NOUN	clotilde
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Aussi	ADV	aussi
,	PUNCT	,
quand	CONJ	quand
madame	NOUN	madame
Bédarrides	ADJ	bédarrides
revint	VERB	revenir
sur	ADP	sur
certaines	PRON	certain
propositions	NOUN	proposition
dont	PRON	dont
elle	PRON	elle
m'	PRON	me
avait	VERB	avoir
déjà	ADV	déjà
touché	VERB	toucher
quelques	PRON	quelque
mots	NOUN	mot
à	ADP	à
mon	PRON	mon
arrivée	NOUN	arrivé|arrivée
à	ADP	à
Marseille	NOUN	marseille
,	PUNCT	,
me	PRON	me
fut-il	NOUN	fut-il
impossible	ADJ	impossible
d'	ADP	de
y	PRON	y
répondre	VERB	répondre
dans	ADP	dans
le	DET	le
sens	NOUN	sens
qu'	PRON	que
elle	PRON	elle
désirait	VERB	désirer
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Les	DET	le
Bédarrides	NOUN	bédarrides
,	PUNCT	,
les	DET	le
deux	NUM	deux
frères	NOUN	frère
,	PUNCT	,
la	DET	le
femme	NOUN	femme
de	ADP	de
l'	DET	le
aîné	NOUN	aîné
et	CONJ	et
Marius	NOUN	marius
se	PRON	se
montraient	VERB	montrer
tous	PRON	tout
d'	ADP	de
une	DET	un
bonté	NOUN	bonté
exquise	ADJ	exquis
