Notice	NOUN	notice
n'	ADV	ne
avait	VERB	avoir
gardé	VERB	garder
de	ADP	de
ses	PRON	son
parents	NOUN	parents
qu'	CONJ	que
un	DET	un
souvenir	NOUN	souvenir
apeuré	ADJ	apeuré
,	PUNCT	,
sans	ADP	sans
reconnaissance	NOUN	reconnaissance
,	PUNCT	,
sans	ADP	sans
affection	NOUN	affection
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Son	PRON	son
père	NOUN	père
,	PUNCT	,
qui	PRON	qui
demeurait	VERB	demeurer
d'	ADP	de
ordinaire	NOUN	ordinaire
à	ADP	à
Paris	NOUN	paris
,	PUNCT	,
il	PRON	il
le	PRON	le
connaissait	VERB	connaître
à	ADP	à
peine	NOUN	peine
;	PUNCT	;
sa	PRON	son
mère	NOUN	mère
,	PUNCT	,
il	PRON	il
se	PRON	se
la	PRON	la
rappelait	VERB	rappeler
,	PUNCT	,
immobile	ADJ	immobile
et	CONJ	et
couchée	VERB	coucher
,	PUNCT	,
dans	ADP	dans
une	DET	un
chambre	NOUN	chambre
obscure	ADJ	obscur
du	ADP	du
château	NOUN	château
de	ADP	de
Lourps	NOUN	lourps
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Rarement	ADV	rarement
,	PUNCT	,
le	DET	le
mari	NOUN	mari
et	CONJ	et
la	DET	le
femme	NOUN	femme
étaient	VERB	être
réunis	VERB	réunir
,	PUNCT	,
et	CONJ	et
de	ADP	de
ces	PRON	ce
jours	NOUN	jour
-là	ADV	là
,	PUNCT	,
il	PRON	il
se	PRON	se
remémorait	VERB	remémorer
des	ADP	du
entrevues	NOUN	entrevue
décolorées	VERB	décolorer
,	PUNCT	,
le	DET	le
père	NOUN	père
et	CONJ	et
la	DET	le
mère	NOUN	mère
assis	VERB	asseoir
,	PUNCT	,
en	ADP	en
face	NOUN	face
l'	DET	le
un	NOUN	un
de	ADP	de
l'	DET	le
autre	ADJ	autre
,	PUNCT	,
devant	ADP	devant
un	DET	un
guéridon	NOUN	guéridon
qui	PRON	qui
était	VERB	être
seul	ADJ	seul
éclairé	VERB	éclairer
par	ADP	par
une	DET	un
lampe	NOUN	lampe
au	ADP	au
grand	ADJ	grand
abat-jour	NOUN	abat-jour
très	ADV	très
baissé	VERB	baisser
,	PUNCT	,
car	CONJ	car
la	DET	le
duchesse	NOUN	duchesse
ne	ADV	ne
pouvait	VERB	pouvoir
supporter	VERB	supporter
sans	ADP	sans
crises	NOUN	crise
de	ADP	de
nerfs	NOUN	nerf
la	DET	le
clarté	NOUN	clarté
et	CONJ	et
le	DET	le
bruit	NOUN	bruit
;	PUNCT	;
dans	ADP	dans
l'	DET	le
ombre	NOUN	ombre
,	PUNCT	,
ils	PRON	il
échangeaient	VERB	échanger
deux	NUM	deux
mots	NOUN	mot
à	ADP	à
peine	NOUN	peine
,	PUNCT	,
puis	ADV	puis
le	DET	le
duc	NOUN	duc
s'	PRON	se
éloignait	VERB	éloigner
indifférent	ADJ	indifférent
et	CONJ	et
ressautait	VERB	ressauter
au	ADP	au
plus	ADV	plus
vite	ADV	vite
dans	ADP	dans
le	DET	le
premier	NUM	premier
train	NOUN	train
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Chez	ADP	chez
les	DET	le
jésuites	NOUN	jésuite
où	PRON	où
Jean	NOUN	jean
fut	VERB	être
dépêché	VERB	dépêcher
pour	ADP	pour
faire	VERB	faire
ses	PRON	son
classes	NOUN	classe
,	PUNCT	,
son	PRON	son
existence	NOUN	existence
fut	VERB	être
plus	ADV	plus
bienveillante	ADJ	bienveillant
et	CONJ	et
plus	ADV	plus
douce	ADJ	doux
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Les	DET	le
Pères	NOUN	père
se	PRON	se
mirent	VERB	mettre
à	ADP	à
choyer	VERB	choyer
l'	DET	le
enfant	NOUN	enfant
dont	PRON	dont
l'	DET	le
intelligence	NOUN	intelligence
les	PRON	la|le
étonnait	VERB	étonner
;	PUNCT	;
cependant	ADV	cependant
,	PUNCT	,
en	ADP	en
dépit	NOUN	dépit
de	ADP	de
leurs	PRON	leur
efforts	NOUN	effort
,	PUNCT	,
ils	PRON	il
ne	ADV	ne
purent	VERB	pouvoir
obtenir	VERB	obtenir
qu'	CONJ	que
il	PRON	il
se	PRON	se
livrât	VERB	livrer
à	ADP	à
des	ADP	du
études	NOUN	étude
disciplinées	VERB	discipliner
;	PUNCT	;
il	PRON	il
mordait	VERB	mordre
à	ADP	à
certains	PRON	certain
travaux	NOUN	travail
,	PUNCT	,
devenait	VERB	devenir
prématurément	ADV	prématurément
ferré	VERB	ferrer
sur	ADP	sur
la	DET	le
langue	NOUN	langue
latine	ADJ	latin
,	PUNCT	,
mais	CONJ	mais
,	PUNCT	,
en	ADP	en
revanche	NOUN	revanche
,	PUNCT	,
il	PRON	il
était	VERB	être
absolument	ADV	absolument
incapable	ADJ	incapable
d'	ADP	de
expliquer	VERB	expliquer
deux	NUM	deux
mots	NOUN	mot
de	ADP	de
grec	NOUN	grec
,	PUNCT	,
ne	ADV	ne
témoignait	VERB	témoigner
d'	ADP	de
aucune	PRON	aucun
aptitude	NOUN	aptitude
pour	ADP	pour
les	DET	le
langues	NOUN	langue
vivantes	ADJ	vivant
,	PUNCT	,
et	CONJ	et
il	PRON	il
se	PRON	se
révéla	VERB	révéler
tel	PRON	tel
qu'	PRON	que
un	DET	un
être	NOUN	être
parfaitement	ADV	parfaitement
obtus	ADJ	obtus
,	PUNCT	,
dès	ADP	dès
qu'	CONJ	que
on	PRON	on
s'	PRON	se
efforça	VERB	efforcer
de	ADP	de
lui	PRON	lui
apprendre	VERB	apprendre
les	DET	le
premiers	NUM	premier
éléments	NOUN	élément
des	ADP	du
sciences	NOUN	science
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Sa	PRON	son
famille	NOUN	famille
se	PRON	se
préoccupait	VERB	préoccuper
peu	ADV	peu
de	ADP	de
lui	PRON	lui
;	PUNCT	;
parfois	ADV	parfois
son	PRON	son
père	NOUN	père
venait	VERB	venir
le	PRON	le
visiter	VERB	visiter
au	ADP	au
pensionnat	NOUN	pensionnat
:	PUNCT	:
«	PUNCT	«
Bonjour	NOUN	bonjour
,	PUNCT	,
bonsoir	NOUN	bonsoir
,	PUNCT	,
sois	VERB	être
sage	ADJ	sage
et	CONJ	et
travaille	VERB	travailler
bien	ADV	bien
.	PUNCT	.
<EOS>	<EOS>	<EOS>
»	PUNCT	»
Aux	ADJ	aux
vacances	NOUN	vacance
,	PUNCT	,
l'	DET	le
été	NOUN	été
,	PUNCT	,
il	PRON	il
partait	VERB	partir
pour	ADP	pour
le	DET	le
château	NOUN	château
de	ADP	de
Lourps	NOUN	lourps
;	PUNCT	;
sa	PRON	son
présence	NOUN	présence
ne	ADV	ne
tirait	VERB	tirer
pas	ADV	pas
sa	PRON	son
mère	NOUN	mère
de	ADP	de
ses	PRON	son
rêveries	NOUN	rêverie
;	PUNCT	;
elle	PRON	elle
l'	PRON	la|le
apercevait	VERB	apercevoir
à	ADP	à
peine	NOUN	peine
,	PUNCT	,
ou	CONJ	ou
le	PRON	le
contemplait	VERB	contempler
,	PUNCT	,
pendant	ADP	pendant
quelques	PRON	quelque
secondes	NOUN	second|seconde
,	PUNCT	,
avec	ADP	avec
un	DET	un
sourire	NOUN	sourire
presque	ADV	presque
douloureux	ADJ	douloureux
,	PUNCT	,
puis	ADV	puis
elle	PRON	elle
s'	PRON	se
absorbait	VERB	absorber
de	ADP	de
nouveau	ADJ	nouveau
dans	ADP	dans
la	DET	le
nuit	NOUN	nuit
factice	ADJ	factice
dont	PRON	dont
les	DET	le
épais	ADJ	épais
rideaux	NOUN	rideau
des	ADP	du
croisées	NOUN	croisée
enveloppaient	VERB	envelopper
la	DET	le
chambre	NOUN	chambre
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Les	DET	le
domestiques	NOUN	domestique
étaient	VERB	être
ennuyés	VERB	ennuyer
et	CONJ	et
vieux	ADJ	vieux
.	PUNCT	.
<EOS>	<EOS>	<EOS>
L'	DET	le
enfant	NOUN	enfant
,	PUNCT	,
abandonné	VERB	abandonner
à	ADP	à
lui	PRON	lui
-même	ADJ	même
,	PUNCT	,
fouillait	VERB	fouiller
dans	ADP	dans
les	DET	le
livres	NOUN	livre
,	PUNCT	,
les	DET	le
jours	NOUN	jour
de	ADP	de
pluie	NOUN	pluie
;	PUNCT	;
errait	VERB	errer
,	PUNCT	,
par	ADP	par
les	DET	le
après-midi	NOUN	après-midi
de	ADP	de
beau	ADJ	beau
temps	NOUN	temps
,	PUNCT	,
dans	ADP	dans
la	DET	le
campagne	NOUN	campagne
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Sa	PRON	son
grande	ADJ	grand
joie	NOUN	joie
était	VERB	être
de	ADP	de
descendre	VERB	descendre
dans	ADP	dans
le	DET	le
vallon	NOUN	vallon
,	PUNCT	,
de	ADP	de
gagner	VERB	gagner
Jutigny	NOUN	jutigny
,	PUNCT	,
un	DET	un
village	NOUN	village
planté	VERB	planter
au	ADP	au
pied	NOUN	pied
des	ADP	du
collines	NOUN	colline
,	PUNCT	,
un	DET	un
petit	ADJ	petit
tas	NOUN	tas
de	ADP	de
maisonnettes	NOUN	maisonnette
coiffées	VERB	coiffer
de	ADP	de
bonnets	NOUN	bonnet
de	ADP	de
chaume	NOUN	chaume
parsemés	VERB	parsemer
de	ADP	de
touffes	NOUN	touffe
de	ADP	de
joubarbe	NOUN	joubarbe
et	CONJ	et
de	ADP	de
bouquets	NOUN	bouquet
de	ADP	de
mousse	NOUN	mousse
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
se	PRON	se
couchait	VERB	coucher
dans	ADP	dans
la	DET	le
prairie	NOUN	prairie
,	PUNCT	,
à	ADP	à
l'	DET	le
ombre	NOUN	ombre
des	ADP	du
hautes	ADJ	haut
meules	NOUN	meule
,	PUNCT	,
écoutant	VERB	écouter
le	DET	le
bruit	NOUN	bruit
sourd	ADJ	sourd
des	ADP	du
moulins	NOUN	moulin
à	ADP	à
eau	NOUN	eau
,	PUNCT	,
humant	VERB	humer
le	DET	le
souffle	NOUN	souffle
frais	ADJ	frais
de	ADP	de
la	DET	le
Voulzie	NOUN	voulzie
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Parfois	ADV	parfois
,	PUNCT	,
il	PRON	il
poussait	VERB	pousser
jusqu'	ADP	jusque
aux	ADP	au
tourbières	NOUN	tourbier|tourbière
,	PUNCT	,
jusqu'	ADP	jusque
au	ADP	au
hameau	NOUN	hameau
vert	ADJ	vert
et	CONJ	et
noir	ADJ	noir
de	ADP	de
Longueville	NOUN	longueville
,	PUNCT	,
ou	CONJ	ou
bien	ADV	bien
il	PRON	il
grimpait	VERB	grimper
sur	ADP	sur
les	DET	le
côtes	NOUN	côte
balayées	VERB	balayer
par	ADP	par
le	DET	le
vent	NOUN	vent
et	CONJ	et
d'	ADP	de
où	PRON	où
l'	DET	le
étendue	NOUN	étendue
était	VERB	être
immense	ADJ	immense
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Là	ADV	là
,	PUNCT	,
il	PRON	il
avait	VERB	avoir
d'	ADP	de
un	DET	un
côté	NOUN	côté
,	PUNCT	,
sous	ADP	sous
lui	PRON	lui
,	PUNCT	,
la	DET	le
vallée	NOUN	vallée
de	ADP	de
la	DET	le
Seine	NOUN	seine
,	PUNCT	,
fuyant	VERB	fuir
à	ADP	à
perte	NOUN	perte
de	ADP	de
vue	NOUN	vue
et	CONJ	et
se	PRON	se
confondant	VERB	confondre
avec	ADP	avec
le	DET	le
bleu	NOUN	bleu
du	ADP	du
ciel	NOUN	ciel
fermé	VERB	fermer
au	ADP	au
loin	ADV	loin
;	PUNCT	;
de	ADP	de
l'	DET	le
autre	ADJ	autre
,	PUNCT	,
tout	ADV	tout
en	ADP	en
haut	ADV	haut
,	PUNCT	,
à	ADP	à
l'	DET	le
horizon	NOUN	horizon
,	PUNCT	,
les	DET	le
églises	NOUN	église
et	CONJ	et
la	DET	le
tour	NOUN	tour
de	ADP	de
Provins	NOUN	provins
qui	PRON	qui
semblaient	VERB	sembler
trembler	VERB	trembler
,	PUNCT	,
au	ADP	au
soleil	NOUN	soleil
,	PUNCT	,
dans	ADP	dans
la	DET	le
pulvérulence	NOUN	pulvérulence
dorée	VERB	dorer
de	ADP	de
l'	DET	le
air	NOUN	air
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
lisait	VERB	lire|liser
ou	CONJ	ou
rêvait	VERB	rêver
,	PUNCT	,
s'	PRON	se
abreuvait	VERB	abreuver
jusqu'	ADP	jusque
à	ADP	à
la	DET	le
nuit	NOUN	nuit
de	ADP	de
solitude	NOUN	solitude
;	PUNCT	;
à	ADP	à
force	NOUN	force
de	ADP	de
méditer	VERB	méditer
sur	ADP	sur
les	DET	le
mêmes	ADJ	même
pensées	NOUN	pensée
,	PUNCT	,
son	PRON	son
esprit	NOUN	esprit
se	PRON	se
concentra	VERB	concentrer
et	CONJ	et
ses	PRON	son
idées	NOUN	idée
encore	ADV	encore
indécises	ADJ	indécis
mûrirent	VERB	mûrir
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Après	ADP	après
chaque	PRON	chaque
vacance	NOUN	vacance
,	PUNCT	,
il	PRON	il
revenait	VERB	revenir
chez	ADP	chez
ses	PRON	son
maîtres	NOUN	maître
plus	ADV	plus
réfléchi	VERB	réfléchir
et	CONJ	et
plus	ADV	plus
têtu	ADJ	têtu
;	PUNCT	;
ces	PRON	ce
changements	NOUN	changement
ne	ADV	ne
leur	PRON	lui
échappaient	VERB	échapper
pas	ADV	pas
;	PUNCT	;
perspicaces	ADJ	perspicace
et	CONJ	et
retors	ADJ	retors
,	PUNCT	,
habitués	VERB	habituer
par	ADP	par
leur	PRON	leur
métier	NOUN	métier
à	ADP	à
sonder	VERB	sonder
jusqu'	ADP	jusque
au	ADP	au
plus	ADV	plus
profond	ADJ	profond
des	ADP	du
âmes	NOUN	âme
,	PUNCT	,
ils	PRON	il
ne	ADV	ne
furent	VERB	être
point	ADV	point
les	DET	le
dupes	NOUN	dupe
de	ADP	de
cette	PRON	ce
intelligence	NOUN	intelligence
éveillée	VERB	éveiller
mais	CONJ	mais
indocile	ADJ	indocile
;	PUNCT	;
ils	PRON	il
comprirent	VERB	comprendre
que	CONJ	que
jamais	ADV	jamais
cet	PRON	ce
élève	NOUN	élève
ne	ADV	ne
contribuerait	VERB	contribuer
à	ADP	à
la	DET	le
gloire	NOUN	gloire
de	ADP	de
leur	PRON	leur
maison	NOUN	maison
,	PUNCT	,
et	CONJ	et
comme	CONJ	comme
sa	PRON	son
famille	NOUN	famille
était	VERB	être
riche	ADJ	riche
et	CONJ	et
paraissait	VERB	paraître
se	PRON	se
désintéresser	VERB	désintéresser
de	ADP	de
son	PRON	son
avenir	NOUN	avenir
,	PUNCT	,
ils	PRON	il
renoncèrent	VERB	renoncer
aussitôt	ADV	aussitôt
à	ADP	à
le	PRON	le
diriger	VERB	diriger
sur	ADP	sur
les	DET	le
profitables	ADJ	profitable
carrières	NOUN	carrière
des	ADP	du
écoles	NOUN	école
;	PUNCT	;
bien	ADV	bien
qu'	CONJ	que
il	PRON	il
discutât	VERB	discuter
volontiers	ADV	volontiers
avec	ADP	avec
eux	PRON	eux
sur	ADP	sur
toutes	PRON	tout
les	DET	le
doctrines	NOUN	doctrine
théologiques	ADJ	théologique
qui	PRON	qui
le	PRON	le
sollicitaient	VERB	solliciter
par	ADP	par
leurs	PRON	leur
subtilités	NOUN	subtilité
et	CONJ	et
leurs	PRON	leur
arguties	NOUN	argutie
,	PUNCT	,
ils	PRON	il
ne	ADV	ne
songèrent	VERB	songer
même	ADV	même
pas	ADV	pas
à	ADP	à
le	PRON	le
destiner	VERB	destiner
aux	ADP	au
Ordres	NOUN	ordre
,	PUNCT	,
car	CONJ	car
malgré	ADP	malgré
leurs	PRON	leur
efforts	NOUN	effort
sa	PRON	son
foi	NOUN	foi
demeurait	VERB	demeurer
débile	ADJ	débile
;	PUNCT	;
en	ADP	en
dernier	ADJ	dernier
ressort	NOUN	ressort
,	PUNCT	,
par	ADP	par
prudence	NOUN	prudence
,	PUNCT	,
par	ADP	par
peur	NOUN	peur
de	ADP	de
l'	DET	le
inconnu	NOUN	inconnu
,	PUNCT	,
ils	PRON	il
le	PRON	le
laissèrent	VERB	laisser
travailler	VERB	travailler
aux	ADP	au
études	NOUN	étude
qui	PRON	qui
lui	PRON	lui
plaisaient	VERB	plaire
et	CONJ	et
négliger	VERB	négliger
les	DET	le
autres	ADJ	autre
,	PUNCT	,
ne	ADV	ne
voulant	VERB	vouloir
pas	ADV	pas
s'	PRON	se
aliéner	VERB	aliéner
cet	PRON	ce
esprit	NOUN	esprit
indépendant	ADJ	indépendant
,	PUNCT	,
par	ADP	par
des	ADP	du
tracasseries	NOUN	tracasserie
de	ADP	de
pions	NOUN	pion
laïques	ADJ	laïque
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
vécut	VERB	vivre
ainsi	ADV	ainsi
,	PUNCT	,
parfaitement	ADV	parfaitement
heureux	ADJ	heureux
,	PUNCT	,
sentant	VERB	sentir
à	ADP	à
peine	NOUN	peine
le	DET	le
joug	NOUN	joug
paternel	ADJ	paternel
des	ADP	du
