Frontispice	NOUN	frontispice
,	PUNCT	,
non	ADV	non
pour	ADP	pour
les	PRON	la|le
voler	VERB	voler
,	PUNCT	,
mais	CONJ	mais
pour	ADP	pour
les	PRON	la|le
violer	VERB	violer
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Son	PRON	son
sport	NOUN	sport
était	VERB	être
que	CONJ	que
le	DET	le
spasme	NOUN	spasme
de	ADP	de
plaisir	NOUN	plaisir
de	ADP	de
l'	DET	le
un	NOUN	un
concordât	VERB	concorder
exactement	ADV	exactement
avec	ADP	avec
le	DET	le
spasme	NOUN	spasme
de	ADP	de
mort	NOUN	mort
de	ADP	de
l'	DET	le
autre	ADJ	autre
:	PUNCT	:
«	PUNCT	«
Dans	VERB	dans
ces	PRON	ce
moments	NOUN	moment
là	ADV	là
,	PUNCT	,
me	PRON	me
disait-il	VERB	disait-il
,	PUNCT	,
je	PRON	je
me	PRON	me
figurais	VERB	figurer
que	CONJ	que
j'	PRON	je
étais	VERB	être
un	DET	un
Dieu	NOUN	dieu
et	CONJ	et
que	PRON	que
je	PRON	je
créais	VERB	créer
le	DET	le
monde	NOUN	monde
!	PUNCT	!
<EOS>	<EOS>	<EOS>
»	PUNCT	»
--	PUNCT	--
Ah	NOUN	ah
!	PUNCT	!
<EOS>	<EOS>	<EOS>
s'	PRON	se
écria	VERB	écrier
le	DET	le
célèbre	ADJ	célèbre
écrivain	NOUN	écrivain
...	PUNCT	...
Si	NOUN	si
vous	PRON	vous
allez	VERB	aller
chercher	VERB	chercher
vos	PRON	votre
exemples	NOUN	exemple
chez	ADP	chez
les	DET	le
professionnels	NOUN	professionnel
de	ADP	de
l'	DET	le
assassinat	NOUN	assassinat
!	PUNCT	!
<EOS>	<EOS>	<EOS>
Doucement	ADV	doucement
,	PUNCT	,
le	DET	le
savant	NOUN	savant
répliqua	VERB	répliquer
:	PUNCT	:
--	PUNCT	--
C'	PRON	ce
est	VERB	être
que	CONJ	que
nous	PRON	nous
sommes	VERB	sommer|être
tous	PRON	tout
,	PUNCT	,
plus	ADV	plus
ou	CONJ	ou
moins	ADV	moins
,	PUNCT	,
des	ADP	du
assassins	NOUN	assassin
...	PUNCT	...
Tous	NOUN	tous
,	PUNCT	,
nous	PRON	nous
avons	VERB	avoir
éprouvé	VERB	éprouver
cérébralement	ADV	cérébralement
,	PUNCT	,
à	ADP	à
des	ADP	du
degrés	NOUN	degré
moindres	ADJ	moindre
