Préface	NOUN	préface
il	PRON	il
a	VERB	avoir
partagé	VERB	partager
leurs	PRON	leur
joies	NOUN	joie
et	CONJ	et
leurs	PRON	leur
douleurs	NOUN	douleur
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Aujourd'hui	ADV	aujourd'hui
il	PRON	il
éprouve	VERB	éprouver
un	DET	un
plaisir	NOUN	plaisir
rétrospectif	ADJ	rétrospectif
indicible	ADJ	indicible
à	ADP	à
se	PRON	se
retrouver	VERB	retrouver
avec	ADP	avec
eux	PRON	eux
,	PUNCT	,
à	ADP	à
les	PRON	la|le
ressusciter	VERB	ressusciter
tels	PRON	tel
qu'	PRON	que
il	PRON	il
les	PRON	la|le
a	VERB	avoir
vus	VERB	voir
à	ADP	à
l'	DET	le
époque	NOUN	époque
où	PRON	où
il	PRON	il
était	VERB	être
si	ADV	si
heureux	ADJ	heureux
parce	CONJ	parce
qu'	PRON	que
il	PRON	il
était	VERB	être
libre	ADJ	libre
.	PUNCT	.
<EOS>	<EOS>	<EOS>
«	PUNCT	«
C'	NOUN	c'
est	VERB	être
à	ADP	à
ce	PRON	ce
titre	NOUN	titre
que	PRON	que
j'	PRON	je
applaudis	VERB	applaudir
au	ADP	au
livre	NOUN	livre
de	ADP	de
M	NOUN	m
.	PUNCT	.
Aimard	NOUN	aimard
»	PUNCT	»
,	PUNCT	,
dit	VERB	dire
M	VERB	m
.	PUNCT	.
Paul	NOUN	paul
d'	ADP	de
Ivoi	NOUN	ivoi
dans	ADP	dans
sa	PRON	son
chronique	NOUN	chronique
,	PUNCT	,
«	PUNCT	«
ce	PRON	ce
qu'	PRON	que
il	PRON	il
faut	VERB	falloir
voir	VERB	voir
surtout	ADV	surtout
dans	ADP	dans
un	DET	un
livre	NOUN	livre
,	PUNCT	,
c'	PRON	ce
est	VERB	être
l'	DET	le
esprit	NOUN	esprit
qui	PRON	qui
l'	PRON	la|le
anime	VERB	animer
,	PUNCT	,
le	DET	le
sentiment	NOUN	sentiment
qui	PRON	qui
l'	PRON	la|le
inspire	VERB	inspirer
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Quand	CONJ	quand
les	DET	le
Arabes	NOUN	arabes
tuent	VERB	tuer
un	DET	un
lion	NOUN	lion
,	PUNCT	,
ils	PRON	il
en	PRON	en
font	VERB	faire
manger	VERB	manger
le	DET	le
cœur	NOUN	cœur
à	ADP	à
leurs	PRON	leur
enfants	NOUN	enfant
pour	ADP	pour
les	PRON	la|le
rendre	VERB	rendre
forts	ADJ	fort
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Ces	PRON	ce
livres	NOUN	livre
qui	PRON	qui
nous	PRON	nous
parlent	VERB	parler
de	ADP	de
liberté	NOUN	liberté
,	PUNCT	,
de	ADP	de
grand	ADJ	grand
air	NOUN	air
,	PUNCT	,
de	ADP	de
courage	NOUN	courage
,	PUNCT	,
de	ADP	de
dévouement	NOUN	dévouement
,	PUNCT	,
de	ADP	de
vaillance	NOUN	vaillance
,	PUNCT	,
sont	VERB	être
une	DET	un
saine	ADJ	sain
nourriture	NOUN	nourriture
:	PUNCT	:
c'	PRON	ce
est	VERB	être
aussi	ADV	aussi
du	ADP	du
cœur	NOUN	cœur
de	ADP	de
lion	NOUN	lion
.	PUNCT	.
<EOS>	<EOS>	<EOS>
»	PUNCT	»
I	NUM	i
--	PUNCT	--
Le	DET	le
chaparral	NOUN	chaparral
Pendant	VERB	pendre
mon	PRON	mon
dernier	ADJ	dernier
séjour	NOUN	séjour
en	ADP	en
Amérique	NOUN	amérique
,	PUNCT	,
le	DET	le
hasard	NOUN	hasard
,	PUNCT	,
ou	CONJ	ou
plutôt	ADV	plutôt
ma	PRON	mon
bonne	ADJ	bon
étoile	NOUN	étoile
,	PUNCT	,
me	PRON	me
fit	VERB	faire
lier	VERB	lier
connaissance	NOUN	connaissance
avec	ADP	avec
un	NOUN	un
de	ADP	de
ces	PRON	ce
chasseurs	NOUN	chasseur
,	PUNCT	,
ou	CONJ	ou
coureurs	NOUN	coureur
des	ADP	du
bois	NOUN	bois
,	PUNCT	,
dont	PRON	dont
le	DET	le
type	NOUN	type
a	VERB	avoir
été	VERB	être
immortalisé	VERB	immortaliser
par	ADP	par
Cooper	NOUN	cooper
,	PUNCT	,
dans	ADP	dans
son	PRON	son
poétique	ADJ	poétique
personnage	NOUN	personnage
de	ADP	de
Bas	NOUN	bas
de	ADP	de
cuir	NOUN	cuir
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Voici	ADV	voici
dans	ADP	dans
quelle	PRON	quel
étrange	VERB	étranger
circonstance	NOUN	circonstance
,	PUNCT	,
Dieu	NOUN	dieu
nous	PRON	nous
plaça	VERB	placer
en	ADP	en
face	NOUN	face
l'	DET	le
un	NOUN	un
de	ADP	de
l'	DET	le
autre	ADJ	autre
:	PUNCT	:
Vers	ADP	vers
la	DET	le
fin	NOUN	fin
de	ADP	de
juillet	NOUN	juillet
1855	NUM	@card@
,	PUNCT	,
j'	PRON	je
avais	VERB	avoir
quitté	VERB	quitter
Galveston	NOUN	galveston
,	PUNCT	,
dont	PRON	dont
je	PRON	je
redoutais	VERB	redouter
les	DET	le
fièvres	NOUN	fièvre
,	PUNCT	,
mortelles	ADJ	mortel
pour	ADP	pour
les	DET	le
Européens	NOUN	européens
,	PUNCT	,
avec	ADP	avec
le	DET	le
projet	NOUN	projet
de	ADP	de
visiter	VERB	visiter
la	DET	le
partie	NOUN	partie
N.-O	NOUN	n.-o
.	PUNCT	.
<EOS>	<EOS>	<EOS>
du	ADP	du
Texas	NOUN	texas
,	PUNCT	,
que	CONJ	que
je	PRON	je
ne	ADV	ne
connaissais	VERB	connaître
pas	ADV	pas
encore	ADV	encore
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Un	DET	un
proverbe	NOUN	proverbe
espagnol	ADJ	espagnol
dit	VERB	dire
quelque	PRON	quelque
part	NOUN	part
:	PUNCT	:
mas	NOUN	mas
vale	ADJ	vale
andar	ADJ	andar
solo	NOUN	solo
que	CONJ	que
mal	ADV	mal
acompanado	NOUN	acompanado
,	PUNCT	,
mieux	ADV	mieux
vaut	VERB	valoir
aller	VERB	aller
seul	ADJ	seul
que	CONJ	que
mal	ADV	mal
accompagné	VERB	accompagner
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Comme	ADV	comme
tous	PRON	tout
les	DET	le
proverbes	NOUN	proverbe
,	PUNCT	,
celui	PRON	celui
-ci	ADV	-ci
possède	VERB	posséder
un	DET	un
certain	PRON	certain
fond	NOUN	fond
de	ADP	de
vérité	NOUN	vérité
,	PUNCT	,
surtout	ADV	surtout
en	ADP	en
Amérique	NOUN	amérique
,	PUNCT	,
où	PRON	où
l'	DET	le
on	PRON	on
est	VERB	être
exposé	VERB	exposer
à	ADP	à
chaque	PRON	chaque
instant	NOUN	instant
à	ADP	à
rencontrer	VERB	rencontrer
des	ADP	du
coquins	NOUN	coquin
de	ADP	de
toutes	PRON	tout
les	DET	le
couleurs	NOUN	couleur
qui	PRON	qui
,	PUNCT	,
grâce	NOUN	grâce
à	ADP	à
leurs	PRON	leur
dehors	NOUN	dehors
séduisants	ADJ	séduisant
,	PUNCT	,
vous	PRON	vous
charment	VERB	charmer
,	PUNCT	,
captent	VERB	capter
votre	PRON	votre
confiance	NOUN	confiance
,	PUNCT	,
et	CONJ	et
en	PRON	en
profitent	VERB	profiter
sans	ADP	sans
remords	NOUN	remords
à	ADP	à
la	DET	le
première	NUM	premier
occasion	NOUN	occasion
,	PUNCT	,
pour	ADP	pour
vous	PRON	vous
détrousser	VERB	détrousser
et	CONJ	et
vous	PRON	vous
assassiner	VERB	assassiner
.	PUNCT	.
<EOS>	<EOS>	<EOS>
J'	PRON	je
avais	VERB	avoir
fait	VERB	faire
mon	PRON	mon
profit	NOUN	profit
du	ADP	du
proverbe	NOUN	proverbe
,	PUNCT	,
et	CONJ	et
,	PUNCT	,
en	ADP	en
vieux	ADJ	vieux
routier	NOUN	routier
des	ADP	du
prairies	NOUN	prairie
,	PUNCT	,
comme	CONJ	comme
je	PRON	je
ne	ADV	ne
voyais	VERB	voir
autour	ADV	autour
de	ADP	de
moi	PRON	moi
personne	NOUN	personne
qui	PRON	qui
m'	PRON	me
inspirât	VERB	inspirer
assez	ADV	assez
de	ADP	de
sympathie	NOUN	sympathie
pour	CONJ	pour
en	ADP	en
faire	VERB	faire
mon	PRON	mon
compagnon	NOUN	compagnon
de	ADP	de
