[	PUNCT	[
mari	NOUN	mari
et	CONJ	et
la	DET	le
femme	NOUN	femme
,	PUNCT	,
avaient	VERB	avoir
été	VERB	être
de	ADP	de
plus	ADV	plus
en	ADP	en
plus	ADV	plus
fiers	ADJ	fier
de	ADP	de
leur	PRON	leur
nom	NOUN	nom
:	PUNCT	:
Haupois-Daguillon	NOUN	haupois-daguillon
,	PUNCT	,
c'	PRON	ce
était	VERB	être
tout	ADV	tout
dire	VERB	dire
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Deux	NUM	deux
enfants	NOUN	enfant
étaient	VERB	être
nés	VERB	naître
de	ADP	de
leur	PRON	leur
mariage	NOUN	mariage
,	PUNCT	,
une	DET	un
fille	NOUN	fille
,	PUNCT	,
l'	DET	le
aînée	NOUN	aîné
,	PUNCT	,
et	CONJ	et
,	PUNCT	,
par	ADP	par
une	DET	un
grâce	NOUN	grâce
vraiment	ADV	vraiment
providentielle	ADJ	providentiel
,	PUNCT	,
un	DET	un
fils	NOUN	fil|fils
qui	PRON	qui
continuerait	VERB	continuer
la	DET	le
dynastie	NOUN	dynastie
des	ADP	du
Daguillon	NOUN	daguillon
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Mais	CONJ	mais
les	DET	le
rêves	NOUN	rêve
ou	CONJ	ou
les	DET	le
projets	NOUN	projet
des	ADP	du
parents	NOUN	parents
ne	ADV	ne
s'	PRON	se
accordent	VERB	accorder
pas	ADV	pas
toujours	ADV	toujours
avec	ADP	avec
la	DET	le
réalité	NOUN	réalité
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Bien	ADV	bien
que	CONJ	que
ce	PRON	ce
fils	NOUN	fil|fils
eût	VERB	avoir
été	VERB	être
élevé	VERB	élever
en	ADP	en
vue	NOUN	vue
de	ADP	de
diriger	VERB	diriger
un	DET	un
jour	NOUN	jour
la	DET	le
maison	NOUN	maison
de	ADP	de
la	DET	le
rue	NOUN	rue
Royale	ADJ	royal
et	CONJ	et
de	ADP	de
devenir	VERB	devenir
un	DET	un
vrai	ADJ	vrai
Daguillon	NOUN	daguillon
,	PUNCT	,
il	PRON	il
n'	ADV	ne
avait	VERB	avoir
montré	VERB	montrer
aucune	PRON	aucun
disposition	NOUN	disposition
à	ADP	à
réaliser	VERB	réaliser
les	DET	le
espérances	NOUN	espérance
de	ADP	de
ses	PRON	son
parents	NOUN	parents
,	PUNCT	,
et	CONJ	et
la	DET	le
gloire	NOUN	gloire
de	ADP	de
sa	PRON	son
maison	NOUN	maison
avait	VERB	avoir
paru	VERB	paraître
n'	ADV	ne
exercer	VERB	exercer
aucune	PRON	aucun
influence	NOUN	influence
,	PUNCT	,
aucun	PRON	aucun
mirage	NOUN	mirage
sur	ADP	sur
lui	PRON	lui
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Cette	PRON	ce
froideur	NOUN	froideur
s'	PRON	se
était	VERB	être
manifestée	VERB	manifester
dès	ADP	dès
son	PRON	son
enfance	NOUN	enfance
;	PUNCT	;
et	CONJ	et
alors	ADV	alors
qu'	CONJ	que
il	PRON	il
suivait	VERB	suivre
les	DET	le
cours	NOUN	cour|cours
du	ADP	du
lycée	NOUN	lycée
Bonaparte	NOUN	bonaparte
et	CONJ	et
qu'	PRON	que
il	PRON	il
venait	VERB	venir
le	DET	le
jeudi	NOUN	jeudi
ou	CONJ	ou
pendant	ADP	pendant
les	DET	le
vacances	NOUN	vacance
passer	VERB	passer
quelques	PRON	quelque
heures	NOUN	heure
dans	ADP	dans
les	DET	le
magasins	NOUN	magasin
,	PUNCT	,
on	PRON	on
ne	ADV	ne
l'	PRON	la|le
avait	VERB	avoir
jamais	ADV	jamais
vu	VERB	voir
prendre	VERB	prendre
intérêt	NOUN	intérêt
à	ADP	à
ce	PRON	ce
qui	PRON	qui
se	PRON	se
faisait	VERB	faire
ni	CONJ	ni
à	ADP	à
ce	PRON	ce
qui	PRON	qui
se	PRON	se
disait	VERB	dire
autour	ADV	autour
de	ADP	de
lui	PRON	lui
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Combien	ADV	combien
était	VERB	être
sensible	ADJ	sensible
la	DET	le
différence	NOUN	différence
entre	ADP	entre
la	DET	le
mère	NOUN	mère
et	CONJ	et
le	DET	le
fils	NOUN	fil|fils
,	PUNCT	,
car	CONJ	car
les	DET	le
distractions	NOUN	distraction
les	DET	le
plus	ADV	plus
agréables	ADJ	agréable
de	ADP	de
son	PRON	son
enfance	NOUN	enfance
,	PUNCT	,
c'	PRON	ce
était	VERB	être
dans	ADP	dans
ce	PRON	ce
magasin	NOUN	magasin
que	CONJ	que
mademoiselle	NOUN	mademoiselle
Daguillon	NOUN	daguillon
les	PRON	la|le
avait	VERB	avoir
trouvées	VERB	trouver
,	PUNCT	,
écoutant	VERB	écouter
,	PUNCT	,
regardant	VERB	regarder
curieusement	ADV	curieusement
les	DET	le
clients	NOUN	client
,	PUNCT	,
admirant	VERB	admirer
les	DET	le
pièces	NOUN	pièce
d'	ADP	de
orfèvrerie	NOUN	orfèvrerie
exposées	VERB	exposer
dans	ADP	dans
les	DET	le
vitrines	NOUN	vitrine
,	PUNCT	,
et	CONJ	et
la	DET	le
plus	ADV	plus
heureuse	ADJ	heureux
petite	ADJ	petit
fille	NOUN	fille
du	ADP	du
monde	NOUN	monde
lorsqu'	CONJ	lorsque
on	PRON	on
lui	PRON	lui
permettait	VERB	permettre
d'	ADP	de
en	ADP	en
prendre	VERB	prendre
quelques-unes	PRON	quelques-uns
(	PUNCT	(
de	ADP	de
celles	PRON	celui
qui	PRON	qui
n'	ADV	ne
étaient	VERB	être
pas	ADV	pas
terminées	VERB	terminer
bien	ADV	bien
entendu	VERB	entendre
)	PUNCT	)
pour	ADP	pour
jouer	VERB	jouer
à	ADP	à
la	DET	le
marchande	NOUN	marchand
avec	ADP	avec
ses	PRON	son
camarades	NOUN	camarade
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Mais	CONJ	mais
était-il	NOUN	était-il
sage	ADJ	sage
de	ADP	de
s'	PRON	se
inquiéter	VERB	inquiéter
de	ADP	de
l'	DET	le
apathie	NOUN	apathie
d'	ADP	de
un	DET	un
enfant	NOUN	enfant
?	PUNCT	?
<EOS>	<EOS>	<EOS>
plus	ADV	plus
tard	ADV	tard
la	DET	le
raison	NOUN	raison
viendrait	VERB	venir
,	PUNCT	,
et	CONJ	et
,	PUNCT	,
quand	CONJ	quand
il	PRON	il
comprendrait	VERB	comprendre
la	DET	le
vie	NOUN	vie
,	PUNCT	,
il	PRON	il
ne	ADV	ne
resterait	VERB	rester
assurément	ADV	assurément
pas	ADV	pas
insensible	ADJ	insensible
aux	ADP	au
avantages	NOUN	avantage
que	CONJ	que
sa	PRON	son
naissance	NOUN	naissance
lui	PRON	lui
donnait	VERB	donner
.	PUNCT	.
<EOS>	<EOS>	<EOS>
L'	DET	le
âge	NOUN	âge
seul	ADJ	seul
était	VERB	être
venu	VERB	venir
,	PUNCT	,
et	CONJ	et
lorsque	CONJ	lorsque
,	PUNCT	,
ses	PRON	son
études	NOUN	étude
finies	ADJ	fini
,	PUNCT	,
Léon	NOUN	léon
était	VERB	être
entré	VERB	entrer
dans	ADP	dans
la	DET	le
maison	NOUN	maison
paternelle	ADJ	paternel
,	PUNCT	,
il	PRON	il
avait	VERB	avoir
gardé	VERB	garder
son	PRON	son
apathie	NOUN	apathie
et	CONJ	et
son	PRON	son
indifférence	NOUN	indifférence
,	PUNCT	,
restant	VERB	rester
de	ADP	de
glace	NOUN	glace
pour	ADP	pour
les	DET	le
joies	NOUN	joie
commerciales	ADJ	commercial
,	PUNCT	,
insensible	ADJ	insensible
aux	ADP	au
bonnes	ADJ	bon
