Prologue	NOUN	prologue
tribus	NOUN	tribu
indiennes	ADJ	indien
qui	PRON	qui
l'	PRON	la|le
entourent	VERB	entourer
et	CONJ	et
de	ADP	de
ses	PRON	son
frottements	NOUN	frottement
continuels	ADJ	continuel
avec	ADP	avec
ces	PRON	ce
peuplades	NOUN	peuplade
,	PUNCT	,
ait	VERB	avoir
conservé	VERB	conserver
une	DET	un
physionomie	NOUN	physionomie
à	ADP	à
part	NOUN	part
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Les	DET	le
mœurs	NOUN	mœurs
de	ADP	de
ses	PRON	son
habitants	NOUN	habitant
ont	VERB	avoir
une	DET	un
certaine	ADJ	certain
allure	NOUN	allure
sauvage	ADJ	sauvage
,	PUNCT	,
qui	PRON	qui
les	PRON	la|le
distingue	VERB	distinguer
au	ADP	au
premier	NUM	premier
coup	NOUN	coup
d'	ADP	de
œil	NOUN	œil
de	ADP	de
ceux	PRON	celui
des	ADP	du
provinces	NOUN	province
intérieures	ADJ	intérieur
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Le	DET	le
rio	NOUN	rio
Gila	NOUN	gila
peut	VERB	pouvoir
être	VERB	être
considéré	VERB	considérer
comme	ADV	comme
la	DET	le
limite	NOUN	limite
septentrionale	ADJ	septentrional
de	ADP	de
cet	PRON	ce
État	NOUN	état
;	PUNCT	;
de	ADP	de
l'	DET	le
est	NOUN	est
à	ADP	à
l'	DET	le
ouest	NOUN	ouest
il	PRON	il
est	VERB	être
resserré	VERB	resserrer
entre	ADP	entre
la	DET	le
sierra	NOUN	sierra
Madre	NOUN	madre
et	CONJ	et
le	DET	le
golfe	NOUN	golfe
de	ADP	de
Californie	NOUN	californie
.	PUNCT	.
<EOS>	<EOS>	<EOS>
La	DET	le
sierra	NOUN	sierra
Madre	NOUN	madre
,	PUNCT	,
derrière	ADP	derrière
Durango	NOUN	durango
,	PUNCT	,
se	PRON	se
partage	VERB	partager
en	ADP	en
deux	NUM	deux
branches	NOUN	branche
,	PUNCT	,
la	DET	le
principale	ADJ	principal
continue	VERB	continuer
la	DET	le
grande	ADJ	grand
direction	NOUN	direction
,	PUNCT	,
courant	VERB	courir
du	ADP	du
nord	NOUN	nord
au	ADP	au
sud	NOUN	sud
,	PUNCT	,
l'	DET	le
autre	ADJ	autre
tourne	NOUN	tourne
vers	ADP	vers
l'	DET	le
ouest	NOUN	ouest
,	PUNCT	,
longeant	VERB	longer
derrière	ADP	derrière
les	DET	le
États	NOUN	états
de	ADP	de
Durango	NOUN	durango
et	CONJ	et
de	ADP	de
Guadalajara	NOUN	guadalajara
,	PUNCT	,
toutes	PRON	tout
les	DET	le
régions	NOUN	région
qui	PRON	qui
vont	VERB	aller
finir	VERB	finir
vers	ADP	vers
le	DET	le
Pacifique	NOUN	pacifique
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Cette	PRON	ce
branche	NOUN	branche
des	ADP	du
cordillères	NOUN	cordillère
forme	VERB	former
les	DET	le
limites	NOUN	limite
méridionales	ADJ	méridional
de	ADP	de
la	DET	le
Sonora	NOUN	sonora
.	PUNCT	.
<EOS>	<EOS>	<EOS>
La	DET	le
nature	NOUN	nature
semble	VERB	sembler
comme	ADV	comme
à	ADP	à
plaisir	NOUN	plaisir
avoir	VERB	avoir
prodigué	VERB	prodiguer
ses	PRON	son
bienfaits	NOUN	bienfait
à	ADP	à
pleines	ADJ	plein
mains	NOUN	main
dans	ADP	dans
ce	PRON	ce
pays	NOUN	pays
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Le	DET	le
climat	NOUN	climat
est	VERB	être
riant	ADJ	riant
,	PUNCT	,
tempéré	VERB	tempérer
,	PUNCT	,
salubre	ADJ	salubre
;	PUNCT	;
l'	DET	le
or	NOUN	or
,	PUNCT	,
l'	DET	le
argent	NOUN	argent
,	PUNCT	,
la	DET	le
terre	NOUN	terre
la	DET	le
plus	ADV	plus
féconde	ADJ	fécond
,	PUNCT	,
les	DET	le
fruits	NOUN	fruit
les	DET	le
plus	ADV	plus
délicieux	ADJ	délicieux
,	PUNCT	,
les	DET	le
herbes	NOUN	herbe
médicinales	ADJ	médicinal
y	PRON	y
abondent	VERB	abonder
;	PUNCT	;
on	PRON	on
y	PRON	y
trouve	VERB	trouver
les	DET	le
baumes	NOUN	baume
les	DET	le
plus	ADV	plus
efficaces	ADJ	efficace
,	PUNCT	,
les	DET	le
insectes	NOUN	insecte
les	DET	le
plus	ADV	plus
utiles	ADJ	utile
pour	ADP	pour
la	DET	le
teinture	NOUN	teinture
,	PUNCT	,
les	DET	le
marbres	NOUN	marbre
les	DET	le
plus	ADV	plus
rares	ADJ	rare
,	PUNCT	,
les	DET	le
pierres	NOUN	pierre
les	DET	le
plus	ADV	plus
précieuses	ADJ	précieux
,	PUNCT	,
le	DET	le
gibier	NOUN	gibier
,	PUNCT	,
les	DET	le
poissons	NOUN	poisson
de	ADP	de
toutes	PRON	tout
sortes	NOUN	sorte
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Mais	CONJ	mais
aussi	ADV	aussi
dans	ADP	dans
les	DET	le
vastes	ADJ	vaste
solitudes	NOUN	solitude
du	ADP	du
rio	NOUN	rio
Gila	NOUN	gila
et	CONJ	et
de	ADP	de
la	DET	le
sierra	NOUN	sierra
Madre	VERB	madre
les	DET	le
Indiens	NOUN	indien
indépendants	ADJ	indépendant
,	PUNCT	,
Comanches	NOUN	comanches
,	PUNCT	,
Pawnees	NOUN	pawnees
,	PUNCT	,
Pimas	NOUN	pimas
,	PUNCT	,
Opatas	NOUN	opatas
et	CONJ	et
Apaches	NOUN	apaches
,	PUNCT	,
ont	VERB	avoir
déclaré	VERB	déclarer
une	DET	un
rude	ADJ	rude
guerre	NOUN	guerre
à	ADP	à
la	DET	le
race	NOUN	race
blanche	ADJ	blanc
,	PUNCT	,
et	CONJ	et
dans	ADP	dans
leurs	PRON	leur
courses	NOUN	course
implacables	ADJ	implacable
et	CONJ	et
incessantes	ADJ	incessant
lui	PRON	lui
font	VERB	faire
chèrement	ADV	chèrement
payer	VERB	payer
la	DET	le
possession	NOUN	possession
de	ADP	de
toutes	PRON	tout
ces	PRON	ce
richesses	NOUN	richesse
dont	PRON	dont
ses	PRON	son
ancêtres	NOUN	ancêtre
les	PRON	la|le
ont	VERB	avoir
dépouillés	VERB	dépouiller
et	CONJ	et
qu'	PRON	que
ils	PRON	il
revendiquent	VERB	revendiquer
sans	ADP	sans
