I	NUM	i
de	ADP	de
son	PRON	son
fusil	NOUN	fusil
sur	ADP	sur
le	DET	le
sable	NOUN	sable
et	CONJ	et
,	PUNCT	,
croisant	VERB	croiser
ses	PRON	son
mains	NOUN	main
sur	ADP	sur
l'	DET	le
extrémité	NOUN	extrémité
des	ADP	du
doubles	ADJ	double
canons	NOUN	canon
de	ADP	de
son	PRON	son
arme	NOUN	arme
,	PUNCT	,
il	PRON	il
examina	VERB	examiner
attentivement	ADV	attentivement
d'	ADP	de
un	DET	un
regard	NOUN	regard
circulaire	ADJ	circulaire
l'	DET	le
immense	ADJ	immense
vallée	NOUN	vallée
qui	PRON	qui
s'	PRON	se
étendait	VERB	étendre
à	ADP	à
perte	NOUN	perte
de	ADP	de
vue	NOUN	vue
autour	ADV	autour
de	ADP	de
lui	PRON	lui
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Satisfait	VERB	satisfaire
sans	ADP	sans
doute	NOUN	doute
de	ADP	de
sa	PRON	son
rapide	ADJ	rapide
observation	NOUN	observation
,	PUNCT	,
un	DET	un
sourire	NOUN	sourire
releva	VERB	relever
légèrement	ADV	légèrement
les	DET	le
commissures	NOUN	commissure
de	ADP	de
ses	PRON	son
lèvres	NOUN	lèvre
,	PUNCT	,
il	PRON	il
murmura	VERB	murmurer
entre	ADP	entre
ses	PRON	son
dents	NOUN	dent
,	PUNCT	,
en	ADP	en
français	ADJ	français
avec	ADP	avec
un	DET	un
fort	ADJ	fort
accent	NOUN	accent
normand	ADJ	normand
:	PUNCT	:
--	PUNCT	--
Allons	X	allons
!	PUNCT	!
<EOS>	<EOS>	<EOS>
je	PRON	je
suis	VERB	suivre|être
content	ADJ	content
de	ADP	de
moi	PRON	moi
;	PUNCT	;
je	PRON	je
ne	ADV	ne
me	PRON	me
suis	VERB	suivre|être
pas	ADV	pas
trompé	VERB	tromper
d'	ADP	de
une	DET	un
ligne	NOUN	ligne
,	PUNCT	,
bien	ADV	bien
que	CONJ	que
cette	PRON	ce
fois	NOUN	fois
soit	VERB	être
la	DET	le
première	NUM	premier
que	CONJ	que
je	PRON	je
vienne	VERB	venir
dans	ADP	dans
cette	PRON	ce
contrée	NOUN	contrée
;	PUNCT	;
et	CONJ	et
il	PRON	il
y	PRON	y
a	VERB	avoir
loin	ADV	loin
d'	ADP	de
ici	ADV	ici
à	ADP	à
Montréal	NOUN	montréal
;	PUNCT	;
voici	ADV	voici
la	DET	le
vallée	NOUN	vallée
jonchée	VERB	joncher
de	ADP	de
poteries	NOUN	poterie
brisées	VERB	briser
;	PUNCT	;
voici	ADV	voici
sur	ADP	sur
ma	PRON	mon
droite	NOUN	droit|droite
la	PRON	la
casa	VERB	caser
de	ADP	de
Moctekuzoma	NOUN	moctekuzoma
,	PUNCT	,
là-bas	ADV	là-bas
les	DET	le
ruines	NOUN	ruine
d'	ADP	de
une	DET	un
ville	NOUN	ville
qui	PRON	qui
a	VERB	avoir
dû	VERB	devoir
être	VERB	être
riche	ADJ	riche
et	CONJ	et
bien	ADV	bien
fortifiée	VERB	fortifier
;	PUNCT	;
et	CONJ	et
,	PUNCT	,
ce	PRON	ce
qui	PRON	qui
est	VERB	être
plus	ADV	plus
important	ADJ	important
,	PUNCT	,
à	ADP	à
l'	DET	le
orée	NOUN	orée
de	ADP	de
ce	PRON	ce
