	Filename	author.name	title	Year	supergenre	Genre	Subgenre	author.country	author.viaf	author.bne	author.gender	title.main	title.viaf	title.bne	author.name.full	subtitle	availability	subgenre.cligs	genre.analyzed	genre.analyzed.cert	date.file	digital.source	digital.source.format	genre.subtitle	narrator	protagonist.gender	setting.type	form	publication	digital.source.idno	author.continent	authorText.group	authorText.subgroup	protagonist.name	protagonist.age	protagonist.socLevel	protagonist.profession	representation	setting.continent	setting.country	setting.settlement	setting.territory	text.movement	time.period	time.span	authorText.relation	end	time.year	keywords.cert	author.movement	author.submovement	author.date.birth	author.date.death	litHist.literaryQuality	litHist.brow	litHist.audience	author.litHist.pages	author.nonNovelGenre	litHist.pages	author.year.change	setting.settlement.represented.exist	setting.represented	MdLE	CoNSSA	CoNSSA.canon	HdLE	subgenre.lithist.MdLE	subgenre.lithist.HdLE	subgenre.edit.epublibre	subgenre.edit.amazon	subgenre.edit.wikidata	subgenre.edit.esdbpedia	subgenre.subtitle.bne	subgenre.subtitle.first.edition	subgenre.cluster	am.tokens	am.chars	am.divs	am.verses	am.sps	am.paragraphs	am.pds	am.numerals	am.puncts	am.blocks	am.chapters	am.shortStories	am.parts	am.sections	am.divisions	am.lg.poems	am.lg.stanzas	am.saids	am.narrative.ps	am.punctual.ss	len.abstract	am.fts	len.chapters.mean	len.chapters.std	len.chapters.median	len.chapters.iqr	am.conjunctions	am.determiners	am.nouns	am.verbs	am.adverbs	am.adjectives	am.adpositions	am.punctuations	am.pronouns	am.dates	am.numbers	am.interjections	am.ne.persons	am.ne.organizations	am.ne.locations	am.ne.others	am.ss	len.ss.mean	len.ss.std	len.ss.median	len.ss.iqr	am.ss.active.verbs.mean	am.ss.active.verbs.std	am.ss.active.verbs.median	am.ss.active.verbs.iqr	am.ws	am.ws.num.mean	am.ws.num.std	am.ws.num.median	am.ws.num.iqr	am.wnlex.noun.plants	am.wnlex.verb.communications	am.wnlex.noun.foods	am.wnlex.verb.possessions	am.wnlex.verb.cognitions	am.wnlex.noun.communications	am.wnlex.noun.states	am.wnlex.verb.statives	am.wnlex.noun.cognitions	am.wnlex.noun.times	am.wnlex.verb.bodys	am.wnlex.noun.persons	am.wnlex.adj.alls	am.wnlex.noun.quantitys	am.wnlex.noun.phenomenons	am.wnlex.verb.creations	am.wnlex.adj.perts	am.wnlex.adv.alls	am.wnlex.noun.processs	am.wnlex.noun.artifacts	am.wnlex.verb.perceptions	am.wnlex.noun.feelings	am.wnlex.verb.weathers	am.wnlex.noun.substances	am.wnlex.noun.shapes	am.wnlex.verb.competitions	am.wnlex.verb.motions	am.wnlex.noun.animals	am.wnlex.noun.acts	am.wnlex.noun.bodys	am.wnlex.noun.objects	am.wnlex.noun.motives	am.wnlex.verb.socials	am.wnlex.noun.groups	am.wnlex.verb.consumptions	am.wnlex.noun.possessions	am.wnlex.noun.Topss	am.wnlex.noun.relations	am.wnlex.noun.attributes	am.wnlex.verb.emotions	am.wnlex.noun.locations	am.wnlex.noun.events	am.wnlex.verb.contacts	am.wnlex.xxxs	am.wnlex.verb.changes	decade	autobiografía	aventura	biografía	costumbrista	diálogo	educación	episodio nacional	erótica	espiritual	fantástico	filosófica	greguería	guerra	histórica	humor	memorias	modernista	naturalista	nivola	poética	psicológica	realista	social	ficción-literaria	Brow
ne0074	ne0074	Unamuno	Manuel	1931	narrative	novela	philosophical	Spain	88844103.0	XX1139151	male	San Manuel Bueno, mártir	183802569	XX2213110	Miguel de Unamuno		free	social,spiritual,philosophical	novela		2015-07-22	#epublibre	epub		homodiegetic	male	rural	prose	book	6067	Europe	nivola		Manuel Bueno	adult	medium	religious	realistic	Europe	Spain	Valverde de Lucerna	Castilla	modernista	contemporary	3650	low	negative		high	modernism	2-modernista	1864	1936	high	high		167	essay	8.0	1901.0	True	Sanabria	True	True	True	True	nivola		Drama	Aprendizaje y enseñanza de idiomas, Ficción clásica, Ficción contemporánea; Antigua y clásica, Ficción contemporánea; Clásicos, Religiosa y espiritual, Clásicos; Ficción religiosa y espiritual, Religiosa y espiritual, Ficción clásica; Infantil; Europea, Antologías; Biográfica, Historias cortas, Ficción clásica; Español y Portugués, Literatura española, Aprendizaje y enseñanza de idiomas; Historia de la religión, Antigua y clásica, Ficción clásica; Hispanoamericana, Ficción clásica, Ficción clásica; Hispanoamericana, Ficción clásica, Ficción clásica; Ficción clásica, Ficción contemporánea; Historia, teoría literaria y crítica, Sociedad y cultura, Infantil;					bucólica	13904	75536	13	31	0	295	165	10	3066	329	10	0	0	0	0	2	0	207	130	708	868	0	6781.9	4217.75	5501.5	2761.25	1198	1843	2236	2400	698	443	1811	2788	1684	2	29	22	273	42	39	13	491	140.46	124.41	101.0	130.0	2.58	2.48	2.0	2.0	15154					3	306	6	67	254	136	57	618	128	78	101	450	309	2	6	109	17	228	1	115	88	35	10	21	4	15	140	9	113	68	127	4	123	113	8	5	40	1	110	70	117	76	51	10672	143	1930	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	high
ne0075	ne0075	Bazan	Tribuna	1883	narrative	novela	bildungsroman	Spain	51699645.0	XX1104029	female	La Tribuna	304851934		Emilia Pardo Bazán		free	historical,naturalist,realist,sentimental,social,bildungsroman	novela		2015-07-01	#bvmc	html		heterodiegetic	female	small-city	prose	book		Europe	novelas naturalistas	primeras novelas naturalistas	Amparo	young	low	worker	realistic	Europe	Spain	Marineda	Galicia	naturalista	contemporary	1825	none	negative		high	realism	naturalista	1851	1921	high	high		45	short-stories	1.0	1888.0	True	La Coruña	True	True	True	True		novela naturalista	Realista	Ficción clásica, Ficción contemporánea; Ficción clásica; Ficción clásica; Literatura y ficción, Literatura y ficción; Literatura y ficción, Literatura y ficción; Política, Ficción clásica, Ficción histórica						65034	380965	40	19	0	1147	771	7	15193	1205	38	0	0	0	0	7	0	926	376	3410	2413	0	10044.58	3087.04	9348.0	3260.25	4807	10229	14972	11284	3383	4063	9447	13046	5942	21	311	207	1078	384	301	68	2135	181.14	138.95	151.0	166.0	2.94	2.54	2.0	3.0	77712					147	1152	247	476	622	772	346	2161	501	446	460	1511	2650	74	172	495	109	1173	42	1978	607	219	103	266	62	87	1061	207	767	887	241	28	562	513	188	97	134	19	704	245	346	321	713	53070	730	1880	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	high
ne0082	ne0082	Bazan	Piedra	1891	narrative	novela	philosophical	Spain	51699645.0	XX1104029	female	La piedra angular	309306988	XX2120604	Emilia Pardo Bazán		free	moralist,naturalist,realist,social,philosophical	novela		2015-07-03	#bvmc	html		heterodiegetic	male	small-city	prose	book		Europe	novelas naturalistas		Arturo Cáñamo	adult	medium	doctor	realistic	Europe	Spain	Marineda	Galicia	naturalista	contemporary	365	none	negative		medium	realism	naturalista	1851	1921	high	high		45	short-stories	1.0	1888.0	True	La Coruña	True	True	True	True	novela de tesis									51991	305837	20	6	0	727	424	1	13123	751	18	0	0	0	0	2	0	580	303	2751	1034	0	17222.72	4229.87	16903.0	3068.25	3951	8273	11769	9324	2971	3209	7747	11025	5017	72	233	128	973	313	217	72	1846	171.53	157.03	128.0	170.0	2.76	2.57	2.0	3.0	63719					49	1044	79	384	599	689	317	1843	609	341	469	1505	2100	41	133	363	121	995	22	1170	396	238	50	177	44	119	760	156	780	541	238	39	611	387	112	60	196	11	660	200	262	258	526	43527	496	1890	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	high
ne0104	ne0104	Cansinos	MovimientoVP	1921	narrative	novela	comedy	Spain	29547307.0	XX875186	male	El movimiento V. P.			Rafael Cansinos-Asséns	Novela	restricted	historical,memoir,symbolic,comedy	novela		2017-12-15	#abbyy	html		heterodiegetic	male	big-city	prose	book		Europe			Poeta Maldito	adult	medium	writer	realistic	Europe	Spain	Madrid	Madrid		contemporary		high	?	191?	low	avantgarde	4-modernista	1883	1964	high			6	essay	0.2	0.0	True	Madrid	True	True	False	True		novela satírica		Ficción contemporánea					bucólica	62727	375112	48	17	0	994	591	29	11527	1073	30	0	0	13	0	2	0	806	403	3645	261	13	11838.6	5625.37	11114.0	3949.5	4032	10758	13146	9692	3078	4706	7712	10075	4727	16	168	192	839	482	224	178	2713	131.79	117.7	98.0	112.0	1.98	1.79	2.0	2.0	68308					103	1028	105	280	600	1313	370	2824	640	648	424	1909	3029	39	79	555	270	1315	14	1096	387	201	29	115	39	80	436	255	695	469	207	30	640	398	114	53	164	62	672	219	246	222	350	45094	490	1920	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	high
ne0116	ne0116	Baroja	Camino	1902	narrative	novela	bildungsroman	Spain	36912891.0	XX842743	male	Camino de perfección	181655861	XX1879773	Pío Baroja	pasión mística	restricted	modernist,philosophical,realist,sentimental,social,spiritual,symbolic,bildungsroman	novela		2016-03-07	#epublibre	epub		homodiegetic	male	mixed	prose	book	2350	Europe	la vida fantástica		Fernando Ossorio	young	medium	doctor	realistic	Europe	Spain	mixed	mixed	social-realista	contemporary	1460	medium	positive	18??	high	modernism	3-modernista	1872	1956	high	high		117	essay	3.0	1912.0	True	Spain	True	True	True	True		bildungsroman	Drama, Psicológico	Ficción clásica, Ficción contemporánea; Ficción clásica ; Historia; Ficción contemporánea ; Biografías y autobiografías, Historia; Ficción contemporánea						60401	347516	73	14	0	2050	812	0	11805	2124	60	0	0	12	0	4	0	916	1238	3442	801	12	5988.67	3036.2	5682.0	4026.5	3890	10053	13926	10879	2759	3913	9602	11796	5295	27	324	107	967	176	359	85	2568	138.8	105.72	111.0	121.0	2.46	2.04	2.0	2.0	72571					182	997	132	264	635	542	265	2460	609	456	499	1499	2893	61	214	473	147	910	45	2215	743	215	107	240	66	104	1319	238	582	508	624	18	442	524	128	60	166	14	654	237	440	224	635	48041	744	1900	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	high
ne0135	ne0135	Clarin	Hijo	1891	narrative	novela	realist	Spain	17218138.0	XX922976	male	Su único hijo	211738325	XX1851798	Alas, Leopoldo		free	naturalist,sentimental,realist	novela		2015-08-13	#bvmc	html		heterodiegetic	male	small-city	prose	book		Europe			Bonifacio Reyes	adult	medium	artist	realistic	Europe	Spain	unknown	Asturias	naturalista	contemporary	365	none	positive		medium	realism	naturalista	1852	1901	high	high	elite	66	short-stories	3.0	0.0	True	unknown	True	True	True	True	novela naturalista	novela realista	Drama			Naturalista				89371	514221	17	8	0	1154	465	1	19547	1178	16	0	0	0	0	5	0	536	689	3729	722	0	32577.25	15222.62	28310.5	21169.5	6638	13850	19610	15817	5251	5463	13821	17459	8965	31	303	157	1816	341	529	117	2914	182.23	169.38	135.0	188.75	2.87	2.86	2.0	3.0	107365					55	1500	158	657	1236	1249	729	4212	1280	601	797	2661	3908	112	210	819	264	1846	48	1434	792	582	43	169	74	98	1057	249	1194	708	297	46	902	710	139	241	287	32	1207	601	362	456	560	72040	742	1890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	high
ne0136	ne0136	Azorin	DonaInes	1925	narrative	novela	sentimental	Spain	2479761.0	XX825215	male	Doña Inés	188305427	XX1873704	Azorín, José Martínez Ruiz 	historia de amor	restricted	sentimental,sentimental	novela		2017-01-09	#abbyy	html	historia	heterodiegetic	female	mixed	prose	book		Europe	Tres novelas sobre mitos literarios		Inés	mature	high	lord	realistic	mixed	mixed	mixed	mixed		contemporary	3650	none	negative	1840	medium	modernism	3-modernista	1873	1967	high	high		107	essay	2.0	0.0	True	mixed	True	True	True	True	novela romántica						historia	historia	bucólica	32967	188675	57	16	0	396	151	32	5777	466	50	0	0	1	0	5	0	192	245	2240	3788	1	3734.56	1144.47	3446.0	1502.75	1595	6057	8267	5469	1307	2115	4888	5665	2002	19	185	37	689	136	282	79	2033	92.82	70.6	75.0	64.0	1.44	1.22	1.0	1.0	37606					79	353	61	152	223	362	177	1603	326	401	195	786	1544	55	95	238	66	486	16	1248	315	101	63	169	60	19	612	99	352	339	237	3	259	162	46	25	63	11	453	149	243	159	298	24519	384	1920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	high
ne0141	ne0141	WFFlorez	Volvoreta	1917	narrative	novela	sentimental	Spain	100256291.0	XX895627	male	Volvoreta		bimo0000861878	Wenceslao Fernández Flórez		restricted	bildungsroman,modernist,moralist,realist,sentimental	novela		2015-11-03	#epublibre	epub		heterodiegetic	male	rural	prose	book	13925	Europe			Sergio Abelenda	young	medium	journalist	realistic	Europe	Spain	mixed	Galicia	modernista	contemporary	365	medium	neutral		high	avantgarde	4-modernista	1881	1964	high	high		40	short-stories	1.0	0.0	True	Galicia	True	True	True	True	novela regional		Drama							54219	316872	24	11	0	1461	682	8	10959	1495	21	0	0	0	0	4	0	737	779	3413	624	0	14684.9	3184.75	14886.0	4368.0	2856	9257	12608	9293	2501	3049	8099	10464	3940	11	217	98	1374	216	335	82	2477	124.9	104.77	97.0	110.0	2.05	1.6	2.0	2.0	62393					167	827	154	339	540	801	323	1836	463	504	399	1164	2133	94	150	436	58	975	48	1417	530	295	56	170	54	98	1132	199	548	661	330	12	490	252	116	67	113	15	524	247	321	355	564	41790	626	1910	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	high
ne0144	ne0144	Pereda	Pedro	1883	narrative	novela	historical	Spain	54167127.0	XX982332	male	Pedro Sánchez	310225443	XX2126282	José María de Pereda		free	bildungsroman,memoir,realist,sentimental,social,historical	novela		2015-08-13	#bvmc	html		autodiegetic	male	big-city	prose	book		Europe	novela cortesana		Pedro Sánchez	young	medium	mixed	realistic	Europe	Spain	Madrid	Castilla	realista	contemporary	10080	none	negative		medium	realism	realista	1833	1906	high	high		55	theatre	5.0	0.0	True	Madrid	True	True	True	True	novela histórica	novela naturalista								110075	628067	36	0	0	1553	708	27	19811	1588	35	0	0	0	0	0	0	930	845	3875	1975	0	18196.91	5807.43	18782.0	10547.5	8915	17384	22573	17847	6492	6636	17889	18264	12355	52	438	91	1241	377	638	125	2752	234.84	219.25	175.0	218.0	3.39	3.38	2.0	3.0	128936					85	1790	291	808	1181	1719	771	4195	1393	718	592	2269	4334	76	288	835	150	2506	49	2203	695	519	58	136	62	128	1530	156	1680	793	379	66	1139	1072	263	219	244	48	1131	424	657	658	751	88956	916	1880	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	high
ne0145	ne0145	Pereda	Penas	1895	narrative	novela	realist	Spain	54167127.0	XX982332	male	Peñas arriba	189374962	XX2126283	José María de Pereda		free	memoir,realist	novela		2015-08-13	#bvmc	html		autodiegetic	male	rural	prose	book		Europe			Marcelo Ruiz de Bejos	adult	high	lord	realistic	Europe	Spain	Tablanca	Cantabria	realista	contemporary	365	none	positive		medium	realism	realista	1833	1906	high	high	elite	55	theatre	4.0	0.0	True	Cantabria	True	True	True	True	novela regionalista	novela caciquil	Drama, Realista	Literatura y ficción, Literatura y ficción						134891	751550	36	2	0	1415	620	2	22507	1452	34	0	0	0	0	1	0	844	795	4136	943	0	22284.18	6825.96	22968.5	7782.5	11457	21315	26887	21693	8461	7446	22789	20831	14983	51	562	184	1493	297	647	136	3069	251.59	230.8	197.0	215.0	3.47	3.16	3.0	4.0	156659					131	1718	281	877	1488	1429	803	5359	1439	883	858	2389	5014	127	384	737	136	3488	50	2519	774	489	124	321	95	82	1938	325	1652	1114	1070	66	1200	944	289	195	306	83	1405	463	795	649	1042	109842	1283	1890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	high
ne0152	ne0152	Valera	Juanita	1896	narrative	novela	realist	Spain	46770556.0	XX918093	male	Juanita la Larga	219966757	XX2215431	Juan Valera		free	sentimental,realist	novela		2015-08-13	#bvmc	html		homodiegetic	female	rural	prose	book		Europe			Juana Gutiérrez (Juanita la larga)	young	low	worker	realistic	Europe	Spain	Villaalegre	Andalucía	realista	contemporary	365	medium	positive		medium	realism	realista	1824	1905	high	high		63	short-stories	3.0	0.0	True	Villaalegre	True	True	True	True	novela de evocación		Realista							72926	407708	49	40	0	1288	304	103	10056	1416	46	0	0	1	0	13	0	375	984	2882	1644	1	8941.96	2774.84	8942.0	4831.25	7276	9237	14282	13549	4459	3865	10386	9775	7703	103	392	96	1968	181	256	125	2554	161.23	118.84	132.5	138.0	2.66	2.04	2.0	3.0	81123					111	1301	141	825	798	711	441	3350	736	398	602	1680	2729	50	103	660	78	1782	20	1036	408	381	64	123	30	166	756	187	935	371	162	42	1001	422	166	152	225	10	779	545	405	280	493	54874	594	1890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	high
ne0159	ne0159	Trigo	Jarrapellejos	1914	narrative	novela	realist	Spain	79060694.0	XX1051062	male	Jarrapellejos	176994003	XX2962019	Felipe Trigo	Vida arcaica, feliz e independiente de un español representativo	free	moralist,philosophical,social,realist	novela		2015-08-19	#bvmc	html		heterodiegetic	male	rural	prose	book		Europe	novelas de crítica social		Octavio Cidoncha	young	medium	?	realistic	Europe	Spain	La Joya	Extremadura	modernista	contemporary	365	none	negative		medium	modernism	2-modernista	1864	1916	high	high		13	short-stories	1.0	0.0	False	Extremadura	True	True	True	True	novela de crítica social	novela caciquil	Drama, Realista							110476	647730	20	29	0	1957	939	42	30156	2006	17	0	0	1	0	4	0	1051	1018	5691	1833	1	38288.06	13053.15	38795.0	14485.0	7761	17619	26255	17232	6033	6668	18398	26230	9496	162	757	547	2672	947	1019	264	4047	166.49	192.56	105.0	164.0	1.95	2.25	1.0	2.0	137158					129	1279	397	727	1045	1308	688	3551	1101	692	620	3491	4410	115	187	625	250	1972	50	2436	695	551	58	235	50	158	1536	525	1734	889	323	45	1193	824	242	176	214	33	1129	458	455	514	776	98416	855	1910	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	high
ne0185	ne0185	RPAyala	Tinieblas	1907	narrative	novela	sentimental	Spain	12320329.0	XX982844	male	Tinieblas en las cumbres			Ramón Pérez de Ayala	Historias de libertinaje. Virginibus puerisque. Novela póstuma de Plotino Cuevas	restricted	modernist,naturalist,philosophical,realist,social,sentimental	novela		2016-01-21	#archive	pdf	novela	homodiegetic	male	rural	prose	book		Europe	tetralogía autobiográfica		Alberto Díaz de Guzmán	young	medium	artist	realistic	Europe	Spain	Pinares	Asturias	modernista	contemporary	2	high	negative		medium	avantgarde	4-modernista	1880	1962	high	high	elite	41	short-stories	2.0	0.0	True	Asturias	True	True	True	True	novela autobiográfica			Literatura y ficción, Literatura y ficción ; Ensayos			novela	novela		72753	435696	34	27	76	1951	970	30	15469	2109	25	0	4	1	1	6	0	1054	981	4481	2521	1	17379.76	12711.16	12646.0	6462.0	4958	10676	16625	13041	3840	5612	8931	14077	5702	7	281	195	1674	204	270	53	3236	131.54	120.41	99.0	122.25	2.37	2.25	2.0	2.0	83945					112	1028	189	297	703	882	442	2355	689	365	451	1597	3391	82	278	565	156	1253	58	1441	483	307	46	205	78	72	1163	227	931	994	410	32	579	392	158	52	181	32	902	332	425	333	611	58011	649	1900	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	high
ne0209	ne0209	Valdes	Marta	1883	narrative	novela	realist	Spain	61554068.0	XX1035048	male	Marta y María	310215476	XX2118269	Armando Palacio Valdés	Novela de costumbres	free	sentimental,spiritual,realist	novela		2016-04-20	#gutenberg	html	novela de costumbres	heterodiegetic	female	small-city	prose	book	32364	Europe	primera etapa		María Elorza	young	medium	religious	realistic	Europe	Spain	Nieva	Asturias	realista	contemporary	365	none	positive	18??	medium	realism	naturalista	1853	1938	high	high		34	short-stories	1.0	1899.0	True	Nieva	True	True	True	True			Realista	 Antologías			novela de costumbres	novela de costumbres		90125	525431	20	34	0	1626	955	2	16734	1695	16	0	0	1	0	6	0	1020	671	4769	795	1	33198.44	7852.75	34697.0	9787.5	6224	14537	19316	16609	5360	5515	13498	14575	8772	29	295	216	1514	196	308	87	3151	170.03	138.16	136.0	128.0	2.62	2.54	2.0	2.0	104946					120	1384	154	874	804	1124	563	3504	1082	618	751	2512	3991	62	338	769	125	1963	58	2214	787	502	141	253	82	141	1534	308	1182	1138	438	47	978	572	188	82	312	17	1038	494	525	548	986	68729	913	1880	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	high
ne0241	ne0241	Baroja	Cesar	1910	narrative	novela	philosophical	Spain	36912891.0	XX842743	male	César o nada	178426423	XX1879778	Pío Baroja		restricted	historical,political-fiction,realist,social,philosophical	novela		2016-03-16	#epublibre	epub		homodiegetic	male	big-city	prose	book	1480	Europe	Las ciudades		César Moncada	adult	high	politician	realistic	Europe	Italy	Roma	Roma	modernista	contemporary	1825	none	negative		medium	modernism	3-modernista	1872	1956	high	high		117	essay	2.0	1912.0	True	Roma	True	True	True	True		novela caciquil	Aventuras, Intriga	Almacenamiento de datos externo, Ficción contemporánea; Ficción clásica, Ficción contemporánea; Ficción clásica, Ficción por género, Ficción contemporánea;						90048	520334	209	0	0	3654	2124	11	18564	3848	159	0	45	1	3	0	0	2414	1530	6192	2793	1	3434.65	1587.09	3184.0	2232.5	6335	14421	20391	16656	4503	5115	12764	18448	8356	48	472	228	2516	842	908	165	3965	133.54	99.48	109.0	109.0	2.57	2.23	2.0	2.0	107737					95	2257	176	555	1263	1184	344	4820	1005	609	749	2958	3708	64	154	695	349	1432	31	2346	646	313	58	183	65	173	1326	172	1057	486	361	31	862	900	271	170	236	30	895	323	481	343	602	72094	865	1910	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	high
ne0321	ne0321	Galdos	Fortunata1	1886	narrative	novela	realist	Spain	71395987.0	XX1014802	male	Fortunata y Jacinta	214026904	XX2127911	Benito Pérez Galdós	dos historias de casadas	free	historical,naturalist,sentimental,social,realist	novela		2015-02-10	#bvmc	html	historia	heterodiegetic	male	big-city	prose	book		Europe	período de interiorización de la realidad	Fortunata y Jacinta	Juan Santa Cruz Arnaiz (Juanito)	young	high	business owner	realistic	Europe	Spain	Madrid	Castilla	naturalista	contemporary	730	none	negative		medium	realism	realista	1843	1920	high	high		181	theatre	9.0	1889.0	True	Madrid	True	True	True	True	novela naturalista	novela naturalista	Drama, Realista	 Ficción clásica; Ficción clásica, Ficción contemporánea; Ficción clásica		Novela	historia	historia		105975	605445	66	4	0	1626	969	109	23867	1696	54	0	11	0	0	3	0	1216	657	6406	1916	0	11441.15	2637.88	11256.5	3687.75	8263	16041	22955	20103	6447	5451	14475	20510	11614	47	654	253	2223	570	786	147	4602	135.28	103.56	114.0	121.0	2.45	1.97	2.0	2.0	126813					104	1945	281	717	1288	1360	540	5090	1146	820	1047	2956	3800	117	109	838	204	2360	38	2500	1095	400	50	252	63	147	1620	291	1366	888	228	47	1059	764	327	242	272	33	1065	656	506	430	948	85816	987	1880	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	high
ne0324	ne0324	Galdos	Fortunata4	1887	narrative	novela	realist	Spain	71395987.0	XX1014802	male	Fortunata y Jacinta	214026904	XX2127911	Benito Pérez Galdós	dos historias de casadas	free	historical,naturalist,sentimental,social,realist	novela		2015-02-10	#bvmc	html	historia	heterodiegetic	male	big-city	prose	book		Europe	período de interiorización de la realidad	Fortunata y Jacinta	Juan Santa Cruz Arnaiz (Juanito)	young	high	business owner	realistic	Europe	Spain	Madrid	Castilla	naturalista	contemporary	730	none	negative		medium	realism	realista	1843	1920	high	high		181	theatre	9.0	1889.0	True	Madrid	True	True	True	True	novela naturalista	novela naturalista	Drama, Realista	 Ficción clásica; Ficción clásica, Ficción contemporánea; Ficción clásica		Novela	historia	historia		99420	556910	57	0	0	1590	986	20	26036	1647	50	0	6	0	0	0	0	1237	604	6815	1916	0	11378.96	1802.42	11581.5	2809.0	8437	13732	18778	21333	6623	4239	12588	21950	13982	55	334	343	1910	287	430	155	4667	123.39	97.79	99.0	115.0	2.52	2.13	2.0	2.0	122394					58	2137	195	635	1511	1134	600	5538	1198	670	1160	2662	3056	70	153	841	126	2253	40	1840	957	467	50	197	45	153	1768	228	1270	648	194	80	1173	477	341	151	329	23	887	673	314	442	869	83712	1068	1880	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	high
ne0325	ne0325	Clarin	Regenta1	1885	narrative	novela	realist	Spain	17218138.0	XX922976	male	La Regenta	183080784	XX3383561	Alas, Leopoldo		free	naturalist,sentimental,realist	novela		2015-08-13	#bvmc	html		heterodiegetic	female	small-city	prose	book		Europe	La Regenta		Ana Ozores	adult	high	housewife	realistic	Europe	Spain	Vetusta	Asturias	naturalista	contemporary	3	none	negative		medium	realism	naturalista	1852	1901	high	high	elite	66	short-stories	16.0	0.0	True	Oviedo	True	True	True	True	novela naturalista	novela caciquil	Drama	Ficción clásica, Ficción contemporánea; Ficción clásica	novela naturalista	Novela realista				145669	843188	18	49	0	3141	1568	15	30703	3208	15	0	0	1	0	17	0	1869	1573	8141	2169	1	55939.53	16752.83	53276.0	24434.0	9731	22811	32190	25733	8111	8068	20487	27443	13404	44	512	285	3183	1257	1085	307	6065	138.87	126.91	105.0	126.0	2.48	2.42	2.0	2.0	168821					181	2864	314	977	1941	1884	879	6747	1699	896	1110	4229	5660	142	318	1146	285	2816	80	3132	1356	617	114	388	69	204	1888	283	1932	1223	566	91	1502	920	411	211	302	57	1710	978	676	667	999	113221	1136	1880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	high
ne0326	ne0326	Clarin	Regenta2	1885	narrative	novela	realist	Spain	17218138.0	XX922976	male	La Regenta	183080784	XX3383561	Alas, Leopoldo		free	naturalist,sentimental,realist	novela		2015-08-13	#bvmc	html		heterodiegetic	female	small-city	prose	book		Europe	La Regenta		Ana Ozores	adult	high	housewife	realistic	Europe	Spain	Vetusta	Asturias	naturalista	contemporary	820	none	partial negative		medium	realism	naturalista	1852	1901	high	high	elite	66	short-stories	16.0	0.0	True	Oviedo	True	True	True	True	novela naturalista	novela caciquil	Drama	Ficción clásica, Ficción contemporánea; Ficción clásica	novela naturalista	Novela realista				162622	936016	17	81	0	3373	1611	6	38778	3471	15	0	0	1	0	27	0	1826	1762	8549	2169	1	63914.4	17960.1	62061.0	30908.0	11382	25353	36517	30114	9321	9288	23917	32915	15920	103	478	381	4285	1363	1012	324	5944	162.59	158.47	118.0	161.0	2.89	2.89	2.0	3.0	195689					239	3225	292	1106	2222	2067	1328	7384	2201	1088	1242	3661	6611	174	508	1374	266	3254	82	3523	1530	1121	128	452	96	299	2560	336	2174	1313	797	77	1761	1013	448	142	420	41	1770	1146	681	981	1248	131790	1518	1880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	high
